timestamp, gyroX, gyroY, gyroZ, Accel_1_X, Accel_1_Y, Accel_1_Z, Accel_2_X, Accel_2_Y, Accel_2_Z5,8.3,5.0,-0.3,0.05,0.98,-0.83,-0.39,0.93,0.05, unclassified
2468,8.7,5.1,0.2,0.10,0.88,-0.93,-0.49,0.88,0.00, unclassified
2482,8.7,5.0,0.1,0.10,0.88,-0.98,-0.49,0.93,-0.05, unclassified
2494,8.6,4.9,0.1,0.15,0.88,-0.88,-0.44,0.98,-0.05, unclassified
2506,8.5,4.9,0.1,0.10,0.88,-0.93,-0.44,0.93,-0.05, unclassified
2519,8.5,4.9,0.1,0.05,0.88,-0.83,-0.39,0.93,0.00, unclassified
2531,8.4,4.9,0.0,0.10,0.93,-0.93,-0.44,0.93,-0.05, unclassified
2544,8.4,5.0,-0.0,0.15,0.98,-0.93,-0.44,0.98,-0.05, unclassified
2556,8.5,5.1,-0.0,0.10,1.03,-0.83,-0.54,0.98,-0.05, unclassified
2569,8.6,5.2,-0.0,0.10,0.93,-0.93,-0.49,0.98,-0.05, unclassified
2581,8.6,5.2,0.0,0.15,0.88,-0.98,-0.54,0.98,-0.05, unclassified
2594,8.7,5.2,-0.0,0.10,0.93,-0.88,-0.44,0.93,-0.05, unclassified
2607,8.6,5.2,0.1,0.15,0.83,-0.88,-0.39,0.98,-0.05, unclassified
2619,8.2,5.1,0.1,0.10,0.93,-0.83,-0.44,0.98,-0.05, unclassified
2631,8.1,5.1,-0.1,0.10,0.98,-0.88,-0.44,0.93,0.00, unclassified
2644,8.2,5.1,-0.2,0.10,0.98,-0.98,-0.54,0.98,0.00, unclassified
2657,8.7,5.0,-0.7,0.15,0.88,-0.88,-0.44,0.93,0.05, unclassified
2670,8.8,5.0,-0.6,0.20,0.83,-0.93,-0.49,0.93,0.00, unclassified
2682,8.8,4.9,-0.7,0.15,0.88,-0.93,-0.44,0.93,0.00, unclassified
2696,8.6,4.8,-0.5,0.15,0.93,-0.88,-0.44,0.88,-0.10, unclassified
2708,8.6,4.8,-0.5,0.20,0.88,-0.88,-0.49,0.93,-0.05, unclassified
2721,8.5,4.7,-0.4,0.10,0.88,-0.83,-0.39,0.88,0.00, unclassified
2734,8.5,4.6,-0.4,0.15,0.93,-0.88,-0.49,0.88,0.05, unclassified
2746,8.5,4.5,-0.5,0.20,0.88,-0.93,-0.49,0.88,0.00, unclassified
2759,8.5,4.5,-0.4,0.15,0.93,-0.93,-0.49,0.88,-0.05, unclassified
2772,8.7,4.5,-0.3,0.05,1.08,-0.93,-0.54,0.88,0.00, unclassified
2785,8.8,4.5,-0.0,0.10,0.88,-0.93,-0.44,0.93,0.05, unclassified
2797,8.7,4.6,0.0,0.10,0.88,-0.98,-0.49,0.88,-0.10, unclassified
2811,8.7,4.6,0.0,0.10,0.88,-0.93,-0.44,0.93,-0.10, unclassified
2825,8.8,4.6,0.1,0.10,0.88,-0.88,-0.49,0.88,0.00, unclassified
2837,8.5,4.5,0.2,0.10,0.98,-0.83,-0.49,0.93,0.00, unclassified
2850,8.5,4.5,0.2,0.10,0.98,-0.93,-0.44,0.88,-0.05, unclassified
2864,8.4,4.7,0.0,0.05,0.98,-0.98,-0.49,0.93,0.05, unclassified
2877,8.5,4.7,-0.0,0.10,0.93,-0.98,-0.49,0.83,0.00, unclassified
2889,8.6,4.8,-0.1,0.05,0.93,-0.98,-0.49,0.88,0.00, unclassified
2903,8.7,4.8,-0.2,0.15,0.83,-0.93,-0.49,0.93,-0.05, unclassified
2915,8.9,4.9,-0.2,0.10,0.88,-0.88,-0.49,0.88,-0.05, unclassified
2928,8.8,4.8,-0.1,0.15,0.88,-0.93,-0.44,0.88,0.00, unclassified
2940,8.7,4.7,-0.1,0.10,0.93,-0.93,-0.49,0.93,-0.05, unclassified
2954,8.6,4.7,-0.1,0.15,0.93,-0.88,-0.44,0.88,-0.05, unclassified
2966,8.6,4.6,-0.3,0.10,0.93,-0.98,-0.44,0.88,0.00, unclassified
2979,8.6,4.6,-0.4,0.10,0.93,-0.93,-0.49,0.88,0.00, unclassified
2992,8.7,4.6,-0.4,0.10,0.88,-0.88,-0.44,0.88,-0.05, unclassified
3004,8.7,4.5,-0.5,0.10,0.93,-0.93,-0.44,0.88,-0.05, unclassified
3017,8.6,4.6,-0.3,0.10,0.93,-0.88,-0.49,0.88,-0.05, unclassified
3030,8.6,4.5,-0.1,0.10,0.93,-0.93,-0.44,0.88,-0.05, unclassified
3042,8.6,4.5,0.1,0.15,0.93,-0.88,-0.49,0.93,-0.05, unclassified
3054,8.7,4.6,0.2,0.10,0.93,-0.93,-0.49,0.93,-0.05, unclassified
3066,8.8,4.6,0.1,0.10,0.98,-0.98,-0.49,0.88,-0.05, unclassified
3080,8.8,4.6,0.1,0.10,0.93,-0.83,-0.49,0.88,0.00, unclassified
3092,8.6,4.6,0.1,0.10,0.93,-0.88,-0.54,0.93,0.00, unclassified
3104,8.5,4.6,-0.1,0.15,0.93,-0.98,-0.49,0.93,-0.05, unclassified
3117,8.5,4.6,-0.1,0.15,0.93,-0.88,-0.44,0.88,0.00, unclassified
3130,8.6,4.6,-0.1,0.15,0.88,-0.93,-0.49,0.88,0.00, unclassified
3142,8.9,4.6,-0.1,0.15,0.83,-0.98,-0.54,0.88,0.00, unclassified
3154,8.9,4.6,-0.1,0.10,0.88,-0.93,-0.44,0.83,0.00, unclassified
3167,8.8,4.6,-0.1,0.20,0.93,-0.93,-0.49,0.88,0.00, unclassified
3179,8.5,4.6,-0.2,0.15,0.88,-0.83,-0.54,0.88,0.00, unclassified
